                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2021,                 1.2137,                  2.088,                0.99366,                      1,                  0.995,                0.74661,                 1.0103,                 1.3253,                 1.7985,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                 1.2543,                 1.2692,                 2.0854,                0.96588,                 0.9973,                0.99476,                0.74188,                 1.0206,                   1.31,                 1.7686,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                 1.2365,                 1.2748,                 2.0748,                0.99662,                      1,                  0.995,                0.71123,                 1.0549,                 1.2924,                 1.8059,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 1.2253,                 1.3021,                 2.0429,                0.98345,                      1,                  0.995,                0.72899,                 1.0775,                 1.3067,                 1.7855,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 1.2812,                 1.2843,                  2.068,                0.99575,                      1,                  0.995,                0.70017,                 1.0866,                 1.2687,                 1.8251,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 1.2344,                 1.2642,                  2.064,                0.98389,                      1,                  0.995,                0.74285,                0.98374,                 1.3008,                 1.7252,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                 1.2666,                 1.2729,                 2.0907,                0.97893,                      1,                  0.995,                0.75035,                0.99533,                 1.2653,                 1.7384,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                 1.2059,                 1.2202,                 2.0301,                 0.9734,                      1,                  0.995,                0.74222,                0.97029,                 1.2377,                 1.7254,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                 1.2324,                 1.2259,                  2.041,                0.98168,                      1,                  0.995,                0.75176,                0.96484,                 1.2189,                 1.7044,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                  1.208,                 1.2524,                 2.0218,                0.98446,                      1,                  0.995,                0.72191,                0.99853,                 1.2786,                  1.748,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                 1.2369,                 1.1911,                  2.012,                0.98315,                      1,                  0.995,                0.76766,                0.96155,                 1.2031,                 1.6796,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                  1.198,                 1.1683,                  1.977,                0.97919,                      1,                  0.995,                0.76529,                0.95386,                 1.1851,                 1.6932,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                 1.1757,                 1.1846,                 1.9366,                0.98016,                0.99802,                  0.995,                0.76016,                0.98308,                 1.2017,                 1.7007,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                 1.1416,                 1.1801,                 1.9805,                0.99135,                      1,                  0.995,                0.75809,                0.97968,                 1.1449,                 1.6737,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                 1.1674,                 1.1526,                  1.951,                0.99118,                      1,                  0.995,                0.76545,                 0.9604,                 1.1465,                 1.6855,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                 1.2016,                  1.213,                 2.0072,                0.99584,                      1,                  0.995,                0.76908,                0.95134,                 1.1588,                 1.6318,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                 1.1775,                 1.1366,                 1.9632,                0.99644,                      1,                  0.995,                0.74717,                0.94557,                 1.1948,                  1.681,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                 1.1693,                 1.1763,                  1.958,                0.97823,                      1,                  0.995,                0.75756,                0.95837,                 1.1507,                 1.6717,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                 1.1231,                 1.1022,                   1.92,                0.99199,                      1,                  0.995,                0.75935,                0.94145,                 1.1668,                 1.6588,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 1.1283,                 1.1293,                 1.9109,                0.98913,                0.99929,                  0.995,                0.75074,                0.96851,                 1.1434,                 1.7024,             3.8889e-05,             3.8889e-05,             3.8889e-05
